vylovit+4	вытащить+из-под+l
přeskakovat+4	перепрыгивать+через+a
obrátit+s+7	повернуть+к+d
odstoupit+4	отказаться+от+g
prohlásit+4	провозгласить+n
konat+4	совершать+a
odvézt+4	отвезти+в+a
dosáhnout+7	достать+i
jednat+s+7	обращаться+с+i
připravit+o+4	подготовить+к+d
participovat+na+6	участвовать+в+l
naházet+4	набросать+g
tancovat+s+7	танцевать+в+l
vyrobit+7	сделать+в+l
zahrnovat+v+6	включать+в+a
zatáhnout+za+4	потянуть+за+a
chtít+3	хотеть+за+a
dopouštět+na+6	допускать+по+d
převrátit+4	опрокинуть+в+a
třísknout+7	хлопнуть+i
zaplatit+7	заплатить+за+a
hovořit+pro+4	говорить+в+a
přejít+do+2	перейти+на+a
odevzdávat+3	передавать+g
odvézt+na+6	отвезти+на+l
pověsit+4	повесить+a
hromadit+4	накапливать+a
odpálit+4	выпустить+g
vyjít+k+3	выйти+за+a
dávat+do+2	класть+в+a
diskutovat+4	спорить+i
nabrat+3	зачерпнуть+из+g
odkazovat+4	ссылаться+на+a
poznamenat+7	заметить+с+i
zapsat+4	записать+a
vozit+na+4	возить+к+d
odstoupit+3	отойти+к+d
svázat+4	связать+a
vylézat+4	вылезать+a
ověřit+4	проверить+a
prostudovat+4	изучить+a
udávat+4	задавать+a
nakupovat+4	покупать+a
vypálit+7	выстрелить+в+a
vytěžit+4	извлечь+из+g
doprovodit+7	проводить+i
dojít+2	произойти+в+l
vystavět+na+6	построить+на+l
přemýšlet+nad+7	размышлять+над+i
upravovat+7	поправлять+i
pustit+2	выпустить+из+g
dokončovat+4	завершать+a
ochránit+4	защитить+g
jíst+2	есть+из+g
strkat+4	совать+a
sáhnout+k+3	прибегнуть+к+d
obtěžovat+s+7	приставать+ко+d
dělat+3	готовить+на+a
vysílat+4	посылать+a
ponořit+do+2	погрузить+во+a
náležet+do+2	относиться+к+d
skrývat+4	скрывать+a
uskutečnit+4	провести+a
znamenat+3	означать+g
